search key word,simplified video title,nickname of the person who uploaded the video,video identifier, video URL,Range
balcony football violence,Brannik_Football_Violence,Nattevandring,ysW-tGv-YjI,http://www.youtube.com/watch?v=kW23lUV6oFk,2:17-2:21
balcony football violence,British_Football_Hooligans_Mix_3,MorningGlory1997,kW23lUV6oFk,http://www.youtube.com/watch?v=kW23lUV6oFk,2:37-2:41
crowd violence,Roma_V_Man_Utd_Police_beating_crowd,Beck84Utd,jwtg8AkcAfc,http://www.youtube.com/watch?v=jwtg8AkcAfc,008-13
crowd violence,Man_Utd_vs_Roma_Crowd_Trouble,uncychris,ZGI5vlDMpJA,http://www.youtube.com/watch?v=ZGI5vlDMpJA,004-7
fans violence,Accidents_Fights_Violence_Tragedies_Hooligans_Football_Fights_HORRIBLE_THINGS,darkhero00,PgujG07PUq0,http://www.youtube.com/watch?v=PgujG07PUq0 ,27-31
fans violence,BRANNIK_Football_Violence_CSKA,Arpecua,gew9Ks_9VRU,http://www.youtube.com/watch?v=gew9Ks_9VRU,43-48
fans violence,Fans_Fighting_Roma_vs_Man_Utd,teafor22,oYikreK6ng4,http://www.youtube.com/watch?v=oYikreK6ng4,0-4
fans violence,F_GHT_S_MORE_MPORTANT_THAN_FOOTBALL_sometimes,shevchenko776,9a616Ppoeak ,http://www.youtube.com/watch?v=9a616Ppoeak,3:22-3:26
fans violence,Hockey_Fights_and_Fan_Brawls,dsnitris2007,XinJCGR7u6w ,http://www.youtube.com/watch?v=XinJCGR7u6w,51-54
fans violence,Marseille_World_Cup_fans_riot,tizwaz35,I9sUIDRjpoo ,http://www.youtube.com/watch?v=I9sUIDRjpoo,3:21-3:24
fans violence,Slovak_chauvinism_nationalism_extremism_intolerance_and_all_forms_of_violence_against_Hungarians,hunsylvania4,FgHyF8-d_hc,http://www.youtube.com/watch?v=FgHyF8-d_hc,3:05-3:09
fans violence,Tigers_Yob_Violence_Hull_Daily_Mail,AllMail,J_znZ1TJugw,http://www.youtube.com/watch?v=J_znZ1TJugw,004-006
football violence,Accidents_Fights_Violence_Tragedies_Hooligans_Football_Fights_HORRIBLE_THINGS,darkhero00,PgujG07PUq0 ,http://www.youtube.com/watch?v=PgujG07PUq0,20-25
football violence,baseball_hockey_football_soccer_violence,Zetrom69,aQ5nh4xRak0 ,http://www.youtube.com/watch?v=aQ5nh4xRak0,31-33
football violence,British_Football_Hooligans_Mix_3,MorningGlory1997,kW23lUV6oFk ,http://www.youtube.com/watch?v=kW23lUV6oFk,20-22
football violence,Football_Hooligans_Hull_Pub_Brawl_News_Report,lancashirelads,--3xfJHXlOc ,http://www.youtube.com/watch?v=--3xfJHXlOc,1:00-1:06
football violence,Polish_Hooligans,tigardojaja,YLSsmo2Glyk ,http://www.youtube.com/watch?v=YLSsmo2Glyk,30-34
Hooligans violence,5x5_russian_hooligans_fight,Parkhom,GnfpwW6sMkc ,http://www.youtube.com/watch?v=GnfpwW6sMkc,13-17
Hooligans violence,Accidents_Fights_Violence_Tragedies_Hooligans_Football_Fights_HORRIBLE_THINGS,darkhero00,PgujG07PUq0,http://www.youtube.com/watch?v=PgujG07PUq0 ,59-1:02
Hooligans violence,ACHTUNG_skinheads_hooligans,WHITENGEL1488,H2xnId9vOo0 ,http://www.youtube.com/watch?v=H2xnId9vOo0,21-23
Hooligans violence,FENERBAHCE_ULTRAS_VS_COPS_VIOLENCE_RIOT,2maxpower1453,e7Bv5fTBqqI,http://www.youtube.com/watch?v=e7Bv5fTBqqI,43-49
Hooligans violence,Football_Hooligans_Hull_Pub_Brawl_News_Report,lancashirelads,--3xfJHXlOc,http://www.youtube.com/watch?v=--3xfJHXlOc ,1:08-1:13
